film,filmLabel,publicationYear,assessmentLabel,outcomeLabel,reviewScore
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Raleigh Becket Test,не проходит,1/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Тест Лины Уэйт,не проходит,0/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Тауриэль,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Russ Test,не проходит,1/2
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Coates Test,не проходит,0/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,обратный тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,reverse Waithe Test,проходит,3/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,обратный тест Ландау,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Topside Test,не проходит,0/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Фельдмана,не проходит,1/10
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Ландау,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,BubbleGum Test,не проходит,1/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Celia Imrie Test,не проходит,1.5/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Шукла,не проходит,1/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Тириона,не проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,тест Мако Мори,не проходит,2/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Raleigh Becket Test,не проходит,1/3
http://www.wikidata.org/entity/Q318975,Атлантида: Затерянный мир,2001,Тест Лины Уэйт,не проходит,0/3
http://www.wikidata.org/entity/Q322328,Кошмар перед Рождеством,1994,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q322328,Кошмар перед Рождеством,1994,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q322328,Кошмар перед Рождеством,1994,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q322328,Кошмар перед Рождеством,1994,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q322328,Кошмар перед Рождеством,1993,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q322328,Кошмар перед Рождеством,1993,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q322328,Кошмар перед Рождеством,1993,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q322328,Кошмар перед Рождеством,1993,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q322328,Кошмар перед Рождеством,1993,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q322328,Кошмар перед Рождеством,1993,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q324262,Кот в сапогах,2011,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q324262,Кот в сапогах,2011,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q324262,Кот в сапогах,2011,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q324262,Кот в сапогах,2011,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,тест Тириона,не проходит,
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,Тест Лины Уэйт,не проходит,0/3
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,Raleigh Becket Test,не проходит,1/3
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,тест Вито Руссо,не проходит,0/3
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,тест Мако Мори,не проходит,2/3
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,Coates Test,не проходит,0/3
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,тест Шукла,не проходит,0/3
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,обратный тест Ландау,не проходит,
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,Russ Test,не проходит,1/2
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,обратный тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,Topside Test,не проходит,0/3
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,тест Фельдмана,не проходит,0/10
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,тест Тауриэль,не проходит,1/3
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,Celia Imrie Test,не проходит,"1,5/3"
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,reverse Waithe Test,не проходит,0/3
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,тест Ландау,не проходит,
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q329316,Чёрный котёл,1985,BubbleGum Test,не проходит,0/3
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,Coates Test,не проходит,0/3
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,обратный тест Ландау,не проходит,
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,reverse Waithe Test,не проходит,0/3
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,тест Вито Руссо,не проходит,0/3
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,тест Риза,неприменимо,
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,Тест Лины Уэйт,не проходит,0/3
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,тест Фельдмана,не проходит,2/10
